Yeary,Monthy,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2019,10,2,22:28:55,4.3,38.2409,73.411,165.7,TAJIKISTAN-XINJIANG BORDER REG.,11126204,1570055335
2019,9,30,12:24:25,4.5,40.082,76.1214,50.2,KYRGYZSTAN-XINJIANG BORDER REG.,11124569,1569846265
2019,9,26,06:57:06,4.5,38.6627,73.4594,146.6,TAJIKISTAN-XINJIANG BORDER REG.,11122495,1569481026
2019,9,15,21:44:07,4.5,39.6602,76.8525,10,"SOUTHERN XINJIANG, CHINA",11117412,1568583847
2019,8,8,18:04:07,4.3,38.3539,75.0673,119.6,"SOUTHERN XINJIANG, CHINA",11096399,1565287447
2019,5,21,10:12:13,4.3,38.391,73.6955,133.5,TAJIKISTAN-XINJIANG BORDER REG.,11041486,1558433533
2019,5,18,07:53:37,4.4,38.8923,74.8835,35,TAJIKISTAN-XINJIANG BORDER REG.,11038829,1558166017
2019,5,17,19:49:39,4.3,39.6404,75.7201,52.8,"SOUTHERN XINJIANG, CHINA",11038621,1558122579
2019,4,29,00:23:18,4.8,39.2124,73.6416,35,TAJIKISTAN-XINJIANG BORDER REG.,11031513,1556497398
2019,4,13,19:08:38,4,37.6793,75.1194,100.7,TAJIKISTAN-XINJIANG BORDER REG.,11025304,1555182518
2019,4,12,14:24:16,4.4,36.8842,75.9659,10,KASHMIR-XINJIANG BORDER REGION,11027657,1555079056
2019,4,6,04:02:41,4.5,39.0831,74.5781,35,"SOUTHERN XINJIANG, CHINA",11022936,1554523361
2019,2,19,17:33:53,4.4,38.3852,75.1294,114.9,"SOUTHERN XINJIANG, CHINA",11007198,1550597633
2019,2,4,06:12:26,4.5,38.4723,73.9308,132.7,TAJIKISTAN-XINJIANG BORDER REG.,11002501,1549260746
2019,1,13,09:01:49,4.1,39.6296,75.3867,35,"SOUTHERN XINJIANG, CHINA",10995372,1547370109
2019,1,12,04:32:04,5.3,39.7003,75.6403,33.1,"SOUTHERN XINJIANG, CHINA",10995047,1547267524
2018,12,30,04:48:44,4.2,38.279,73.5977,125.7,TAJIKISTAN-XINJIANG BORDER REG.,10990961,1546145324
2018,12,20,11:49:47,4.6,39.1851,74.7205,10,"SOUTHERN XINJIANG, CHINA",10987440,1545306587
2018,12,20,11:08:11,5.1,39.1005,74.7699,8,"SOUTHERN XINJIANG, CHINA",10987427,1545304091
2018,12,13,05:47:39,4.6,39.0301,74.7213,35,"SOUTHERN XINJIANG, CHINA",10984631,1544680059
2018,12,11,17:04:06,4.6,38.1439,74.1855,165.6,TAJIKISTAN-XINJIANG BORDER REG.,10983851,1544547846
