Yeary,Mag,Lat,Lon
2019,4.3,38.2409,73.411
2019,4.5,40.082,76.1214
2019,4.5,38.6627,73.4594
2019,4.5,39.6602,76.8525
2019,4.3,38.3539,75.0673
2019,4.3,38.391,73.6955
2019,4.4,38.8923,74.8835
2019,4.3,39.6404,75.7201
2019,4.8,39.2124,73.6416
2019,4,37.6793,75.1194
2019,4.4,36.8842,75.9659
2019,4.5,39.0831,74.5781
2019,4.4,38.3852,75.1294
2019,4.5,38.4723,73.9308
2019,4.1,39.6296,75.3867
2019,5.3,39.7003,75.6403
2018,4.2,38.279,73.5977
2018,4.6,39.1851,74.7205
2018,5.1,39.1005,74.7699
2018,4.6,39.0301,74.7213
2018,4.6,38.1439,74.1855
2018,4.2,39.7671,74.4116
2018,4.1,39.8111,73.6973
2018,4.9,39.4737,75.1416
2018,5.1,38.4095,73.8932
2018,4.4,38.2993,75.4685
2018,4.5,39.7185,73.9316
2018,4.6,39.4189,75.1609
2018,4.4,39.5584,76.6279
2018,4.2,39.1865,74.1395
2018,5.1,38.4099,73.4757
2018,4.3,37.595,75.7516
2018,4.4,39.9788,75.9532
2018,4.6,39.4847,73.3932
2018,4.4,39.7426,74.661
2018,5.1,39.7523,74.4652
2018,4.2,38.3446,74.9053
2018,4.8,39.6441,73.9572
2018,4.2,38.3834,73.7817
2018,4.1,39.4707,73.3862
2018,4.3,38.1667,74.0871
2018,4.5,38.2562,73.9154
2018,4.2,39.602,73.288
2018,4.1,38.1585,74.324
2018,4.3,38.6691,73.647
2017,4.8,39.4727,73.6696
2017,4.3,39.6756,74.1255
2017,4.6,39.2819,74.2862
2017,4.3,38.3885,75.4981
2017,5,38.2556,73.9098
2017,4.7,39.5863,73.6628
2017,4.3,38.468,73.4216
2017,4,38.2264,74.6487
2017,4.5,37.2437,75.3327
2017,4.4,38.3511,73.9708
2017,4.4,38.6645,76.151
2017,4.2,38.8091,74.9524
2017,4.4,39.5428,75.2437
2017,4.2,38.4544,73.3353
2017,4.7,38.214,74.0272
2017,4.3,39.6066,74.587
2017,4.7,39.7077,73.9444
2017,4.2,39.2113,74.2266
2017,4.1,39.6149,73.4495
2017,4,39.0119,75.276
2017,4.2,39.5444,73.4153
2017,4.1,39.4748,73.3632
2017,4,39.5189,73.5158
2017,4.7,38.3993,73.3754
2017,4,38.4064,73.8797
2017,4.9,39.4399,73.5297
2017,5,37.5941,75.4207
2017,5.4,37.6438,75.3063
2017,4.2,36.7713,73.9818
2017,4.3,37.437,75.5363
2017,5.1,39.2694,73.4711
2017,4.4,37.0511,73.5041
2017,4.2,39.5132,73.5147
2017,4.4,39.1137,74.5351
2017,4.5,38.4034,76.7229
2017,5.2,38.289,76.6408
2017,4.5,39.4928,73.4065
2016,4.7,39.3878,73.9595
2016,4.7,39.261,74.0583
2016,4.4,39.2072,74.4709
2016,4.4,39.2264,74.5655
2016,4.3,39.2117,74.2603
2016,4.3,39.2922,74.1789
2016,4.3,39.3235,74.2514
2016,4.1,39.2371,74.2008
2016,4.2,39.3465,73.9768
2016,4.4,39.3115,74.064
2016,4.6,39.2259,74.5477
2016,4.5,39.3407,74.0156
2016,4.4,39.098,74.4524
2016,4.3,39.2802,74.3666
2016,4.7,39.1643,74.2328
2016,5.1,39.2566,74.2004
2016,4.2,39.216,73.7101
2016,4.4,39.2614,74.0438
2016,4.9,39.1863,74.2368
2016,4.2,39.2684,73.9919
2016,4.7,39.2373,74.3071
2016,4.4,39.2016,73.8806
2016,4.4,39.4205,74.2299
2016,4.8,39.2199,73.9792
2016,4.4,39.2114,74.3243
2016,5.1,39.3566,73.9707
2016,6.6,39.23,74.0208
2016,5.2,39.1868,73.9162
2016,4.2,38.4792,73.7265
2016,4.2,39.4318,73.4508
2016,4.3,39.4525,73.5403
2016,4.5,39.3904,73.3957
2016,4.3,39.2633,73.4331
2016,4.5,39.3594,73.5121
2016,4.3,39.4681,73.5545
2016,4.5,39.5593,73.5442
2016,4.4,39.529,73.4583
2016,4.3,39.462,73.323
2016,4.6,39.4543,73.3421
2016,4,39.4224,73.2913
2016,4.4,38.3311,75.5518
2016,4.3,39.4835,73.3064
2016,4.9,39.4789,73.5391
2016,4.5,39.4054,73.4028
2016,4.6,39.4563,73.4252
2016,4.4,39.4658,73.5218
2016,4.3,38.2465,73.7141
2016,4.2,39.473,73.4987
2016,4.7,39.4168,73.4673
2016,4.4,39.4712,73.4743
2016,4.3,39.4009,73.8065
2016,4.3,39.3642,73.4765
2016,4.3,39.4589,73.3502
2016,4.4,39.5221,73.4857
2016,4.2,39.4983,73.5917
2016,5.1,39.4279,73.3766
2016,4.4,39.4725,73.3906
2016,5.5,39.4745,73.341
2016,4.4,39.3883,73.7692
2016,4.8,39.487,73.387
2016,4.5,39.3754,73.5926
2016,4.2,39.4678,73.2877
2016,4.4,39.4237,73.5626
2016,4.9,39.4026,73.7164
2016,5.3,39.4606,73.5842
2016,4,39.5213,73.2819
2016,4.3,39.4592,73.6412
2016,4.2,39.633,73.7798
2016,4.3,39.6123,73.4037
2016,4.4,39.4256,73.4529
2016,4.5,39.403,73.5453
2016,4.5,39.4567,73.6269
2016,4.6,39.4202,73.298
2016,4.4,39.5074,73.4823
2016,4.3,39.4426,73.4941
2016,4.3,39.5189,73.3143
2016,4.4,39.3888,73.5866
2016,4.3,39.4764,73.5807
2016,4.3,39.6393,73.3867
2016,4.3,39.5109,73.4509
2016,4.4,39.4425,73.3019
2016,4.2,39.451,73.7393
2016,4.3,39.5087,73.6454
2016,4.4,39.5267,73.5456
2016,4.4,39.5119,73.7082
2016,4.1,39.3053,73.7919
2016,4.4,39.454,73.5017
2016,4.3,39.2996,73.8362
2016,4.3,39.5976,73.4219
2016,4.1,39.643,73.367
2016,4.3,39.4635,73.4408
2016,4.3,39.5103,73.454
2016,4.4,39.4051,73.6014
2016,4.3,39.425,73.3826
2016,4.3,39.2509,73.5036
2016,4.2,39.4159,73.9782
2016,4.5,39.4727,73.8062
2016,4.2,39.3673,73.3647
2016,4.5,39.2913,73.4902
2016,4.5,39.299,73.4515
2016,4.6,39.3387,73.613
2016,4.6,39.6441,73.562
2016,4.8,39.4381,73.7349
2016,4.9,39.4451,73.6218
2016,4.9,39.4074,73.5245
2016,6.4,39.4793,73.3388
2016,4.1,38.7001,73.3176
2016,4.1,39.4753,73.684
2016,4.7,38.3415,75.5163
2016,4.1,39.6181,75.6198
2016,4.6,39.7699,75.6205
2016,4.5,39.7951,75.3554
2016,4.3,38.1877,74.1795
2016,4.4,38.652,73.7741
2016,4.4,38.6034,73.8565
2016,4.3,38.1366,74.6378
2016,4.7,39.674,74.125
2016,4.3,39.6698,75.2934
,,,
2014,3.2,26.9382,103.9185
2014,3.3,26.9821,103.4863
2014,3.5,26.9906,106.2514
2014,4.4,27.038,103.602
2014,3.6,27.04,103.42
2014,4.1,27.0704,103.3089
2014,3.5,27.0795,104.0554
2014,4.4,27.0826,103.5382
2014,3.6,27.0895,103.5817
2016,4.6,27.09,103.6535
2014,3.1,27.09,103.36
2014,4.6,27.0989,103.5564
2014,4.3,27.1037,103.5176
2014,3.5,27.11,103.36
2015,3.3,27.1211,103.9276
2015,3.9,27.1216,103.4694
2014,4.1,27.1294,103.5083
2014,3.6,27.1315,103.4495
2014,4.6,27.1403,103.5188
2014,3.4,27.1443,103.4808
2014,4.1,27.1479,103.4239
2015,4.2,27.1495,103.3171
2015,4.2,27.1497,103.4825
2014,4.7,27.1502,103.4774
2014,4.7,27.1508,103.5725
2014,4.6,27.1612,103.4425
2014,4.5,27.1625,103.3621
2014,4.4,27.1635,103.4961
2014,4.4,27.1651,103.6709
2014,4.5,27.1851,103.4672
2016,4.7,27.1902,103.4697
2014,4.6,27.1939,103.3072
2015,3.5,27.199,103.4876
2014,4.3,27.2016,103.2203
2017,4.8,27.204,103.5744
2015,3.5,27.2085,103.8847
2014,6.2,27.217,103.458
2017,4.1,27.218,103.7006
2014,4.3,27.2216,103.3272
2016,4.3,27.2261,103.4576
2015,3.7,27.2266,103.6235
2014,3.8,27.2425,103.5052
2014,4.6,27.2425,103.3889
2014,3.4,27.2452,103.7842
2018,4.5,27.2783,104.0138
2014,3.7,27.2801,103.5809
2017,4.9,27.303,103.4248
2016,4.4,27.3516,103.7083
2015,3.6,27.4236,103.8248
2014,3.7,27.43,106.16
2014,3.7,27.5121,104.1539
2018,4.8,27.527,103.9975
2018,4.6,27.5676,103.9934
2018,4.2,27.6167,103.8967
2015,3.2,27.6432,104.2996
2014,3.4,27.7525,104.5193
2014,4.3,27.8519,104.6086
2014,3.5,27.9368,103.4046
2014,3.4,27.9414,103.5074
2014,3.5,27.9746,104.5739
2014,3.4,28.0041,103.5358
2014,3.6,28.0292,103.514
2014,3.5,28.031,103.829
2014,3.2,28.0381,103.7006
2015,3.4,28.042,103.4749
2015,3.7,28.0459,104.7694
2015,3.8,28.0665,103.4813
2015,4.1,28.0719,103.562
2015,3.6,28.0753,104.7467
2014,3.5,28.0791,103.5789
2015,3.8,28.0858,104.8544
2017,4.6,28.0901,104.9566
2018,4.2,28.0952,104.6884
2017,4.5,28.0958,104.765
2014,3.6,28.1,103.52
2014,4.4,28.116,103.594
2017,4.1,28.1162,104.6715
2014,4.2,28.1203,103.6878
2015,4,28.122,104.7113
2014,5.1,28.1251,103.5463
2014,4.2,28.1269,104.8471
2014,4.1,28.1272,104.7578
2019,4.5,28.1278,104.9626
2014,3.3,28.1281,105.3845
2014,4.9,28.1317,103.6474
2017,4.4,28.1323,104.7425
2014,3.4,28.1343,103.7058
2014,4.3,28.1369,103.6425
2017,4.9,28.1479,104.9158
2015,3.5,28.1501,105.0661
2019,4.4,28.1508,103.6451
2019,4.5,28.1516,104.8509
2014,4.6,28.1525,103.5911
2015,3.5,28.155,103.7094
2019,4.8,28.1554,103.6621
2014,4.4,28.1647,103.5782
2015,4.2,28.167,104.8039
2016,4.1,28.1681,104.8434
2017,4.9,28.1707,104.8738
2017,4.6,28.1777,104.7993
2016,4.2,28.1782,103.5829
2017,5.3,28.1832,104.8275
2014,4.7,28.1851,103.7061
2017,4.3,28.1907,105.0359
2015,3.5,28.2076,103.5178
2018,4.5,28.2087,103.7049
2018,4.7,28.2104,103.5613
2014,4.2,28.2116,103.6203
2019,4.5,28.2136,104.641
2014,3.8,28.2238,105.2655
2015,4.1,28.2313,104.7397
2014,4.3,28.2464,103.6539
2015,3.3,28.2532,105.5055
2019,5.2,28.261,104.9842
2019,4.5,28.2612,103.538
2019,4.3,28.263,104.9533
2018,5.4,28.2635,104.9907
2019,4.2,28.2824,104.9121
2015,3.8,28.2971,104.5771
2019,4.5,28.2976,104.8979
2014,3.5,28.298,103.9524
2015,4.6,28.3046,106.1286
2019,4.9,28.3058,104.8033
2019,4.7,28.317,104.8323
2015,3.4,28.318,103.175
2014,3.5,28.3184,105.3694
2016,4.3,28.3452,103.5493
2019,4.4,28.3463,104.6388
2016,4.2,28.3547,104.8962
2019,4.6,28.3586,104.9189
2015,3.8,28.3611,103.2297
2014,4.7,28.3649,104.9233
2019,4.4,28.3651,104.7626
2014,3.5,28.3661,104.6364
2014,3.4,28.3694,105.4194
2015,4.8,28.3806,104.9732
2015,4.6,28.3819,104.9701
2019,4.6,28.3897,105.0455
2019,4.6,28.3913,104.8859
2015,3.1,28.3963,104.2465
2019,4.7,28.3995,104.9852
2019,5.8,28.4005,104.9294
2019,4.2,28.4031,104.8733
2015,4.2,28.4105,105.0054
2019,4.9,28.4109,104.7703
2014,4.4,28.4113,104.8856
2014,3.2,28.4122,104.6263
2019,4.2,28.4144,105.2535
2015,4.3,28.4215,104.9219
2019,5.1,28.4397,104.8739
2019,4.9,28.442,104.977
2014,3.7,28.4431,104.9496
2019,4.4,28.4474,104.9682
2019,4.9,28.4538,104.9579
2019,5.3,28.4545,104.8963
2015,3.6,28.4559,105.2448
2019,4.7,28.4578,104.954
2019,4.9,28.4734,104.9387
2019,4.9,28.4741,104.8907
2015,3.5,28.4916,105.1367
2019,4.7,28.4923,104.9192
2019,5.2,28.5132,104.8625
2019,4.6,28.5199,104.7971
2017,4.1,28.532,103.5628
2015,4,28.5645,103.7898
2014,3.3,28.5811,106.0428
2015,4.3,28.5949,103.835
2015,4.6,28.5981,105.24
2015,3.6,28.6188,103.9549
2015,4.2,28.6369,103.6725
2015,3.5,28.6771,105.6804
2019,4.6,28.6904,104.7746
2018,4.4,28.772,103.4305
2014,3.5,28.7878,104.6832
2018,4.3,28.8051,105.2706
2015,3.6,28.8803,106.2987
2017,4.3,28.9426,105.5216
2015,3.7,29.1195,106.5564
2016,4.3,29.1898,104.6593
2014,3.7,29.2497,104.1816
2017,4.3,29.2924,103.4728
2015,4.9,29.3516,103.2122
2015,4,29.3733,104.9559
2014,3.8,29.38,104.8
2018,4.4,29.3957,104.5994
2016,4.4,29.4126,105.5979
2015,3.5,29.4127,105.8808
2014,3.6,29.4454,105.6299
2016,4.6,29.4466,104.1184
2019,4.9,29.4693,104.6284
2019,4.6,29.4709,104.5609
2016,4.9,29.4732,105.7319
2019,4.9,29.4975,104.6321
2019,5,29.5278,104.9306
2018,4.8,29.5396,104.5425
2019,4.9,29.5517,104.5937
2016,4.2,29.5976,104.7897
2019,4.4,29.9324,105.0388
2019,4.6,29.9325,105.0694
2014,3.7,30.0271,104.8537
